,sales
516276,26494.988
338342,24807.324
666229,25519.475
8353,327.30405
386012,194.49442
471619,25782.838
612347,25782.838
514445,26494.988
396179,25519.475
590638,26494.988
683448,26494.988
218062,25782.838
706606,25782.838
453487,25519.475
240904,327.30405
326681,25782.838
272937,26494.988
11415,327.30405
436957,25782.838
171033,25782.838
632521,25782.838
179002,27.041248
345971,25782.838
463457,25782.838
674866,26494.988
479231,327.30405
369184,25782.838
564608,26494.988
421305,26494.988
312789,25519.475
548456,26494.988
195259,25782.838
669573,26494.988
599293,26494.988
33900,26494.988
74619,25782.838
284898,25782.838
402135,321.71573
447277,25782.838
588164,26494.988
456931,25519.475
221701,26494.988
535271,26494.988
171677,25519.475
226127,26494.988
414979,25519.475
500051,327.30405
329177,25782.838
541113,25782.838
124681,25782.838
284177,27.041248
90749,26494.988
237894,25782.838
506152,25782.838
622882,327.30405
34430,26494.988
268594,25782.838
368485,25782.838
602478,26494.988
202788,25782.838
675955,26494.988
611958,25782.838
597571,26494.988
317074,327.30405
380943,25782.838
649251,544.04193
386136,327.30405
411910,26494.988
119756,26494.988
251963,26494.988
292719,26494.988
77065,26494.988
206967,25782.838
521339,25782.838
363365,327.30405
481077,25782.838
711386,25782.838
66970,26494.988
435729,26494.988
426284,24807.324
435236,26494.988
199039,25782.838
99250,25782.838
580140,24807.324
254820,26494.988
155130,24807.324
503682,24807.324
288534,25519.475
67050,25782.838
174771,24807.324
442288,26494.988
606734,25782.838
431156,26494.988
424121,25782.838
557753,25782.838
520831,26494.988
376589,26494.988
7670,327.30405
303546,25519.475
236740,26494.988
145734,26494.988
134420,25782.838
691699,327.30405
233889,26494.988
653554,26494.988
481046,25519.475
423103,26494.988
693486,327.30405
90193,26494.988
119482,26494.988
525167,25782.838
239754,25782.838
332806,26494.988
142056,327.30405
673000,327.30405
567353,24807.324
696641,26494.988
628766,327.30405
544695,25782.838
652921,26494.988
436682,25782.838
158580,26494.988
184394,25782.838
523534,25782.838
133026,26494.988
296285,25782.838
14477,25519.475
130799,26494.988
17306,25782.838
617975,24807.324
668657,25782.838
460228,194.49442
26534,26494.988
8504,26494.988
253700,26494.988
586553,26494.988
463307,26494.988
245670,25782.838
291128,24807.324
615053,441.066
263461,26494.988
42414,26494.988
527688,25519.475
697845,26494.988
28136,25519.475
245444,26494.988
394116,327.30405
601504,327.30405
349857,26494.988
658989,25782.838
73913,26494.988
579219,25782.838
628094,25519.475
430442,24807.324
694123,26494.988
637678,327.30405
697006,26494.988
174454,25782.838
290329,25782.838
79977,25519.475
561228,24807.324
645402,25782.838
187053,25782.838
545699,327.30405
101633,321.71573
281213,25519.475
303302,26494.988
358148,25519.475
686634,25519.475
66159,327.30405
668588,26494.988
402857,327.30405
354382,25782.838
12107,25782.838
469435,26494.988
500089,24807.324
290988,25782.838
178794,25782.838
624708,26494.988
677489,25519.475
298677,25782.838
703190,24807.324
130811,25519.475
110239,25519.475
624648,26494.988
217090,26494.988
110364,24807.324
678970,26494.988
418148,25782.838
445220,24807.324
126944,26494.988
349411,26494.988
630781,327.30405
463948,25782.838
452373,327.30405
324245,25782.838
222694,327.30405
48646,25782.838
626354,327.30405
651600,25782.838
85679,25782.838
183869,327.30405
283159,327.30405
634703,327.30405
706142,327.30405
522728,25782.838
663580,25782.838
46119,24807.324
250823,25782.838
613782,25782.838
200809,26494.988
269386,327.30405
288820,26494.988
365858,327.30405
616253,26494.988
260287,25782.838
168584,327.30405
667415,194.49442
666578,194.49442
443663,26494.988
103282,26494.988
659814,24807.324
204523,24807.324
105679,26494.988
571093,25782.838
41097,25782.838
139328,26494.988
338773,24807.324
196518,327.30405
283593,25519.475
260425,25782.838
8772,25782.838
165827,26494.988
711567,24807.324
25887,327.30405
46929,26494.988
252401,25782.838
544688,25782.838
630754,25782.838
355922,26494.988
553915,25782.838
491425,26494.988
42394,24807.324
178531,25782.838
63227,26494.988
513313,25519.475
522520,25519.475
492008,25782.838
26376,25782.838
141308,25782.838
695853,25519.475
699596,25782.838
11724,25782.838
475449,26494.988
77094,25782.838
596587,25519.475
424708,26494.988
133400,25782.838
372317,26494.988
469875,25782.838
489986,26494.988
76537,25782.838
228691,25782.838
500104,26494.988
351509,24807.324
403418,25782.838
141754,25519.475
708723,26494.988
606514,26494.988
573456,25782.838
412036,26494.988
454167,26494.988
536326,25782.838
195050,25782.838
401658,327.30405
666654,25782.838
549369,25782.838
525044,26494.988
92889,25782.838
417990,25782.838
560400,26494.988
332572,25782.838
380004,26494.988
380320,26494.988
485277,26494.988
214984,25782.838
347030,27.041248
554331,25519.475
180182,25519.475
91585,26494.988
337287,25782.838
5922,25782.838
668590,26494.988
162038,194.49442
570046,26494.988
125515,25782.838
631827,26494.988
488238,26494.988
595013,27.041248
669612,26494.988
522340,25782.838
145188,327.30405
29075,327.30405
620257,25782.838
423909,25782.838
5513,25519.475
157741,25782.838
403411,26494.988
668630,25782.838
679924,27.041248
127691,25782.838
350679,24807.324
176758,327.30405
468908,27.041248
491932,26494.988
528951,26494.988
708502,24807.324
225772,25782.838
646442,25782.838
65737,26494.988
495271,25782.838
678378,24807.324
540127,25782.838
655764,25782.838
668040,25782.838
5574,26494.988
540911,25782.838
234996,25782.838
144721,25782.838
454454,327.30405
42681,26494.988
685198,26494.988
245786,327.30405
489190,26494.988
452872,25782.838
438242,25782.838
173708,26494.988
500897,25782.838
252009,25782.838
489277,25782.838
217799,25782.838
570087,25782.838
277343,25782.838
246393,24807.324
333826,25782.838
273126,194.49442
633257,25782.838
536436,26494.988
392807,25782.838
9658,26494.988
672437,327.30405
495729,26494.988
463735,25782.838
639793,26494.988
480953,25782.838
410159,26494.988
615202,26494.988
293906,26494.988
392923,25782.838
196232,25782.838
596255,25782.838
549235,25782.838
230156,26494.988
597117,26494.988
685371,26494.988
646858,25782.838
251679,26494.988
67256,26494.988
241647,26494.988
84242,26494.988
264455,26494.988
700950,25782.838
466720,26494.988
220602,327.30405
437208,25782.838
88172,25519.475
441975,327.30405
66246,26494.988
400714,26494.988
629670,25782.838
354403,24807.324
229713,26494.988
392982,25782.838
16858,25782.838
201905,26494.988
53626,25782.838
475129,26494.988
504712,26494.988
600087,25782.838
230229,26494.988
675976,26494.988
137686,26494.988
582562,25782.838
323476,26494.988
136418,327.30405
111652,26494.988
678755,25782.838
67477,25782.838
564828,25782.838
570369,327.30405
123695,25782.838
230390,25782.838
394879,327.30405
359641,26494.988
413992,25782.838
281975,26494.988
197809,26494.988
383747,25519.475
337889,25782.838
654060,26494.988
604564,25782.838
174211,25782.838
197231,24807.324
514692,26494.988
15349,122.22734
206461,25782.838
10577,25519.475
497421,25519.475
415599,25519.475
51571,24807.324
609730,26494.988
296632,26494.988
423520,25782.838
290548,27704.025
419665,25782.838
420538,24807.324
217544,25782.838
132638,327.30405
161231,25519.475
60960,327.30405
669836,26494.988
468622,327.30405
305160,24807.324
2335,26494.988
3194,327.30405
412316,26494.988
98287,26494.988
695502,26494.988
630407,25519.475
571087,26494.988
432742,25519.475
71057,26494.988
256949,327.30405
497297,26494.988
362059,26494.988
114603,25782.838
537324,327.30405
302542,26494.988
477958,26494.988
372155,25782.838
497614,26494.988
115863,26494.988
536522,25519.475
60343,24807.324
150664,25782.838
7299,25782.838
114384,25782.838
693342,25519.475
547500,26494.988
24623,26494.988
664784,544.04193
337487,321.71573
670167,26494.988
224544,26494.988
108066,26494.988
694229,25782.838
234270,26494.988
172277,26494.988
562833,26494.988
467388,26494.988
481994,122.22734
74511,25782.838
180279,26494.988
563513,26494.988
673266,25782.838
361359,26494.988
570560,26494.988
429539,26494.988
549400,25782.838
150021,25519.475
696001,25519.475
441003,25782.838
704418,26494.988
230374,26494.988
538264,26494.988
287032,24807.324
347925,25519.475
565729,26494.988
622490,25782.838
87673,25782.838
678101,327.30405
523800,25782.838
148824,26494.988
214350,24807.324
24194,24807.324
622560,26494.988
412622,26494.988
393964,25782.838
499205,25519.475
197329,327.30405
343824,25782.838
609826,26494.988
339822,25782.838
74602,26494.988
449064,25782.838
102407,26494.988
259790,25782.838
18737,25519.475
136994,25519.475
225299,327.30405
230115,25519.475
395685,327.30405
587529,26494.988
184611,26494.988
31771,26494.988
640775,25782.838
507006,25519.475
134574,25782.838
221934,26494.988
297296,24807.324
382099,327.30405
552080,25782.838
140685,327.30405
419236,26494.988
672815,25782.838
136295,25519.475
625267,24807.324
703298,25519.475
595487,26494.988
515101,26494.988
702585,25782.838
598063,24807.324
619523,327.30405
306390,25782.838
435450,327.30405
150532,24807.324
403221,26494.988
703213,327.30405
243491,26494.988
522874,25782.838
455877,327.30405
652038,25782.838
559612,25782.838
502957,26494.988
207079,327.30405
701479,26494.988
378895,25782.838
39102,24807.324
189980,25782.838
55627,26494.988
440244,25782.838
393373,544.04193
168711,25782.838
426376,26494.988
550128,26494.988
428101,26494.988
111192,26494.988
682264,25782.838
635668,24807.324
443107,25782.838
700963,25519.475
676824,26494.988
626155,24807.324
4710,26494.988
338712,26494.988
623230,25782.838
351337,24807.324
289360,25519.475
67026,25782.838
574873,25782.838
380873,25782.838
266763,25519.475
547057,25782.838
412019,25519.475
385076,26494.988
356595,25782.838
438458,25782.838
197609,25519.475
15762,26494.988
39782,25519.475
94951,26494.988
580011,25782.838
348407,25782.838
565276,26494.988
410520,25519.475
246893,25782.838
488464,26494.988
467354,25782.838
391296,327.30405
255552,26494.988
128134,26494.988
509447,26494.988
3170,194.49442
394679,26494.988
682427,26494.988
222060,25782.838
246137,327.30405
512513,24807.324
244585,25782.838
615326,26494.988
426811,25782.838
151417,26494.988
271324,327.30405
573860,25782.838
81535,25782.838
688138,327.30405
559815,25782.838
134732,25782.838
322997,26494.988
42822,25782.838
626188,25782.838
266689,25782.838
43158,327.30405
82019,26494.988
616029,26494.988
707644,327.30405
39859,25782.838
602329,327.30405
631180,26494.988
140558,24807.324
170717,327.30405
531717,26494.988
227681,25519.475
174572,24807.324
300906,25782.838
155010,327.30405
648999,26494.988
690054,327.30405
27358,25782.838
144608,26494.988
469181,327.30405
446737,25782.838
308867,25782.838
51258,25782.838
359677,25782.838
129846,25782.838
1149,327.30405
633111,25782.838
292366,26494.988
409043,24807.324
256980,26494.988
268334,25782.838
2160,327.30405
5758,25782.838
289577,327.30405
477292,24807.324
170671,26494.988
609259,24807.324
151625,25782.838
651202,26494.988
231073,26494.988
678209,25782.838
663941,327.30405
606620,544.04193
128479,25782.838
150801,25782.838
622129,25782.838
339259,25782.838
94161,25782.838
40355,327.30405
287798,25782.838
52344,327.30405
205218,26494.988
647262,327.30405
53839,26494.988
108629,25519.475
18964,327.30405
83254,26494.988
32589,26494.988
147880,25782.838
58339,26494.988
475551,25782.838
372801,26494.988
504283,26494.988
191950,25519.475
152965,327.30405
356467,25782.838
259565,25782.838
195615,25782.838
596927,26494.988
660531,327.30405
410887,25782.838
367136,24807.324
654830,327.30405
586112,26494.988
395707,26494.988
613842,25519.475
433782,26494.988
62318,24807.324
141939,25782.838
23542,26494.988
165113,24807.324
476320,25782.838
624831,25782.838
225770,25782.838
579330,26494.988
42494,25782.838
90464,25782.838
566092,327.30405
431680,26494.988
688583,26494.988
247307,24807.324
255502,327.30405
386497,25782.838
249368,25782.838
266057,24807.324
438079,24807.324
282233,25782.838
29852,26494.988
555568,25782.838
22039,26494.988
141704,26494.988
522016,26494.988
636125,26494.988
427338,24807.324
340524,327.30405
229292,26494.988
51891,327.30405
465430,25519.475
451940,24807.324
640942,24807.324
108557,194.49442
94073,544.04193
686098,26494.988
665651,327.30405
224698,327.30405
548526,24807.324
223339,25782.838
579391,25782.838
457888,26494.988
669623,26494.988
223824,327.30405
654894,25519.475
646889,24807.324
586466,26494.988
508931,25782.838
212543,327.30405
282508,321.71573
281300,327.30405
87997,327.30405
62064,26494.988
126567,327.30405
621388,25782.838
357273,327.30405
403855,25782.838
10687,26494.988
372941,327.30405
92055,25782.838
237033,27.041248
595528,327.30405
328197,26494.988
529433,122.22734
548938,327.30405
50568,25782.838
355134,25782.838
188815,26494.988
258297,26494.988
672499,25782.838
703324,26494.988
426893,25782.838
674649,327.30405
196237,25782.838
443948,26494.988
474857,24807.324
509848,25519.475
245862,25782.838
588738,25782.838
672329,327.30405
566311,24807.324
490521,26494.988
581868,26494.988
37268,25519.475
22624,25782.838
26960,26494.988
329830,321.71573
608626,327.30405
355991,25782.838
596388,327.30405
113674,26494.988
280998,24807.324
206336,194.49442
250696,327.30405
110876,25782.838
477340,25782.838
52197,24807.324
152979,327.30405
429220,327.30405
319592,327.30405
361638,26494.988
379656,25519.475
686530,26494.988
490247,25782.838
311079,25782.838
585815,26494.988
246339,25782.838
7338,327.30405
626973,27.041248
457143,26494.988
29072,25782.838
487390,25782.838
398680,24807.324
664968,25782.838
695390,25782.838
364108,25782.838
501842,26494.988
275677,26494.988
347859,25782.838
583901,327.30405
228962,25782.838
247153,25782.838
690168,26494.988
335878,25782.838
163908,25782.838
35039,122.22734
509099,327.30405
320778,24807.324
588788,25782.838
36145,25782.838
711584,26494.988
458719,25782.838
547135,26494.988
152105,24807.324
275781,26494.988
489352,25782.838
454268,26494.988
609835,26494.988
107514,25782.838
269229,25782.838
256408,25782.838
621405,26494.988
422234,26494.988
397857,25782.838
560672,327.30405
189554,25782.838
156252,25519.475
84291,25782.838
360207,24807.324
275821,24807.324
30744,24807.324
101525,25782.838
427838,25782.838
639457,25782.838
366006,327.30405
458140,25782.838
354985,26494.988
341650,26494.988
247933,26494.988
431521,25782.838
139237,26494.988
237618,327.30405
349424,25782.838
548876,26494.988
326820,26494.988
539329,25782.838
465675,26494.988
450101,25782.838
644359,327.30405
573932,26494.988
62457,26494.988
251838,25782.838
595727,25782.838
258717,26494.988
124013,25782.838
698974,194.49442
29533,25782.838
43596,26494.988
125276,25782.838
418860,25782.838
123166,26494.988
256628,26494.988
365639,26494.988
147154,25782.838
668309,25782.838
707738,26494.988
617364,26494.988
216637,26494.988
581662,26494.988
680363,26494.988
94262,321.71573
410808,327.30405
358453,26494.988
377289,25782.838
335505,327.30405
354265,25782.838
418464,24807.324
70895,25519.475
242789,25782.838
63995,25782.838
389982,25782.838
127477,25782.838
509548,25519.475
172261,25782.838
136822,327.30405
289972,25782.838
243948,26494.988
126574,25782.838
49383,25782.838
342160,26494.988
689046,26494.988
443312,26494.988
366449,25782.838
300169,26494.988
108869,25782.838
699676,25519.475
8439,26494.988
368553,25782.838
248861,25782.838
1899,26494.988
325863,25519.475
575911,25782.838
286501,25782.838
483765,327.30405
591184,25782.838
192200,25782.838
454870,26494.988
269369,25782.838
185340,25782.838
181431,544.04193
668292,327.30405
287315,25782.838
356559,25782.838
569626,25519.475
530604,25519.475
66428,25782.838
169065,25519.475
251680,327.30405
271426,26494.988
258961,25519.475
101206,327.30405
558154,327.30405
197922,25782.838
361531,25782.838
628779,327.30405
510961,25519.475
591072,25782.838
237440,25782.838
384521,26494.988
448170,25782.838
251331,25782.838
359226,25519.475
572132,26494.988
624334,25782.838
91584,25519.475
679612,25782.838
661193,25782.838
58470,26494.988
593125,25782.838
552605,24807.324
245919,25782.838
507355,24807.324
506968,24807.324
522473,25782.838
509582,26494.988
181891,26494.988
477372,26494.988
531130,26494.988
484467,26494.988
179739,544.04193
196676,26494.988
395706,25782.838
181313,25782.838
708332,25782.838
463566,26494.988
120828,26494.988
601880,25782.838
566251,24807.324
627019,327.30405
424231,25782.838
303960,25782.838
488889,24807.324
365864,25782.838
474558,24807.324
54795,25782.838
419651,25782.838
97185,25782.838
685033,25782.838
102462,24807.324
315922,327.30405
241616,25782.838
379884,25782.838
539206,25782.838
272127,26494.988
69017,26494.988
70610,26494.988
500661,25519.475
249699,26494.988
375446,327.30405
12084,25519.475
253021,327.30405
691005,26494.988
21685,327.30405
322031,25519.475
137701,26494.988
203852,24807.324
495557,24807.324
665748,25782.838
622423,26494.988
179044,24807.324
420240,327.30405
664739,26494.988
662458,327.30405
99678,25782.838
488219,327.30405
680744,25782.838
484713,25782.838
407178,26494.988
20621,25782.838
481546,25519.475
407215,25782.838
268288,25782.838
219664,25782.838
71106,25782.838
569256,26494.988
604996,26494.988
340152,25782.838
43394,327.30405
255682,25782.838
102843,25782.838
295292,25519.475
441320,26494.988
226512,26494.988
500949,25782.838
531132,25782.838
412122,26494.988
198968,25519.475
324489,25782.838
147539,25782.838
150748,25782.838
250690,26494.988
412929,25782.838
694032,26494.988
324034,26494.988
5935,25782.838
478429,25782.838
361414,194.49442
600307,327.30405
432245,26494.988
110313,26494.988
391335,26494.988
179364,25782.838
367444,25782.838
426736,25782.838
229811,25782.838
234208,26494.988
225162,25782.838
560582,24807.324
151519,24807.324
618488,25782.838
104735,25782.838
658372,24807.324
259636,194.49442
495125,26494.988
640840,26494.988
239686,25782.838
370451,26494.988
504751,24807.324
303350,25782.838
216187,25782.838
594585,26494.988
1981,25782.838
303562,25782.838
280925,327.30405
164815,26494.988
90871,544.04193
325489,26494.988
180656,327.30405
86489,327.30405
281059,25782.838
182700,25782.838
664030,327.30405
236185,26494.988
397342,327.30405
554556,327.30405
527529,25519.475
301939,25519.475
132424,24807.324
531052,26494.988
622542,25782.838
210438,327.30405
189000,25782.838
390431,25519.475
280501,26494.988
549852,25782.838
197074,24807.324
231425,25782.838
686473,26494.988
42430,24807.324
99859,26494.988
315031,26494.988
114890,25782.838
427391,327.30405
150655,26494.988
342207,26494.988
274886,25782.838
9383,26494.988
333065,25782.838
84553,327.30405
413147,25782.838
135363,25782.838
251900,194.49442
298806,25782.838
413576,26494.988
646803,327.30405
494121,25782.838
10876,26494.988
413040,26494.988
539009,327.30405
412569,327.30405
340092,25782.838
107228,26494.988
631223,24807.324
614513,327.30405
638481,25782.838
282607,26494.988
143993,26494.988
659629,26494.988
379972,327.30405
444821,26494.988
309223,25519.475
120038,26494.988
589447,25782.838
498447,26494.988
460367,26494.988
425385,26494.988
347709,24807.324
505886,25782.838
668325,26494.988
392368,25782.838
587279,25519.475
165596,26494.988
145828,26494.988
51004,25519.475
166850,25782.838
530490,26494.988
260835,24807.324
274099,24807.324
634076,25782.838
581157,26494.988
299783,26494.988
91354,26494.988
488827,26494.988
426305,25782.838
511593,26494.988
434857,25782.838
433506,25782.838
590978,25782.838
80123,25519.475
656621,25782.838
206349,25782.838
666036,25782.838
236713,25782.838
372415,26494.988
665518,25782.838
478526,25782.838
170706,194.49442
43068,327.30405
297086,327.30405
188986,327.30405
4023,327.30405
426626,26494.988
648481,25782.838
700369,25519.475
201193,25782.838
232416,26494.988
710862,27.041248
114614,327.30405
441358,25782.838
136096,24807.324
83686,327.30405
225425,25782.838
546040,25782.838
501587,26494.988
464417,26494.988
343920,24807.324
514226,26494.988
105661,26494.988
582284,691.0328
482351,25782.838
130568,25782.838
34481,26494.988
679646,327.30405
594969,26494.988
686072,26494.988
471962,26494.988
186714,327.30405
619916,24807.324
55977,25519.475
406917,194.49442
269,25782.838
616719,26494.988
543278,26494.988
216249,25782.838
33043,24807.324
257466,25782.838
681703,25782.838
177315,25782.838
213326,26494.988
664320,27.041248
629310,26494.988
640192,24807.324
96172,25519.475
363695,25782.838
336111,25782.838
460473,26494.988
522338,26494.988
703593,26494.988
111158,25782.838
604144,25782.838
257478,327.30405
224183,25782.838
645410,327.30405
152713,25519.475
218541,25782.838
257537,26494.988
204238,25782.838
30803,25782.838
156443,26494.988
569194,24807.324
277793,26494.988
385469,327.30405
332066,25782.838
2117,24807.324
584238,26494.988
316943,26494.988
367705,27.041248
33415,25782.838
254286,26494.988
112626,25782.838
599381,327.30405
207605,25782.838
174842,25782.838
643477,26494.988
169085,24807.324
73921,25782.838
282954,25782.838
60588,26494.988
187776,26494.988
99518,25782.838
603943,26494.988
20255,26494.988
654803,25519.475
239225,25782.838
200028,27.041248
22640,327.30405
565444,26494.988
256226,25519.475
597671,25782.838
317102,25782.838
358345,26494.988
325396,24807.324
77221,327.30405
219791,25519.475
125745,24807.324
401519,25782.838
331038,327.30405
333627,25782.838
563738,25782.838
461621,25782.838
501226,25782.838
22858,25782.838
703480,26494.988
708779,327.30405
141767,26494.988
181874,26494.988
548914,25782.838
273783,25782.838
35947,25782.838
70204,27.041248
709940,25782.838
397336,25519.475
640794,327.30405
120410,25782.838
449567,25782.838
612529,26494.988
256411,26494.988
652596,26494.988
585629,327.30405
639284,26494.988
581602,26494.988
19762,26494.988
400156,25519.475
548107,327.30405
310485,26494.988
610034,25782.838
474731,24807.324
318151,25782.838
221752,26494.988
391553,25782.838
56386,24807.324
702527,327.30405
364078,25782.838
669614,26494.988
27391,25782.838
330282,25782.838
256233,26494.988
287521,24807.324
523515,24807.324
120560,25782.838
53282,24807.324
89825,26494.988
516607,26494.988
387502,25782.838
217171,327.30405
429844,25782.838
252102,25782.838
269572,25782.838
477691,25782.838
191684,25782.838
558967,25519.475
11520,25782.838
646919,327.30405
599539,26494.988
580373,25782.838
470055,26494.988
611396,25782.838
323674,327.30405
619400,25519.475
293959,24807.324
4233,327.30405
508239,25782.838
299456,26494.988
658177,26494.988
106238,26494.988
571585,25519.475
267621,26494.988
428904,26494.988
256737,25782.838
458268,544.04193
59822,25782.838
120522,25782.838
664115,26494.988
209031,25782.838
356838,24807.324
675975,25519.475
250472,24807.324
127869,24807.324
82488,26494.988
72445,25782.838
246324,25782.838
371946,327.30405
618604,25782.838
368258,25782.838
519342,26494.988
279557,25519.475
104343,25782.838
688259,25782.838
202374,25782.838
99830,25782.838
635224,194.49442
214878,25782.838
224149,24807.324
295773,327.30405
93514,24807.324
67433,24807.324
510726,26494.988
147727,25782.838
235974,25782.838
479278,25782.838
687734,25519.475
212661,26494.988
295787,26494.988
177021,25782.838
182009,26494.988
132754,327.30405
376582,25782.838
17109,25782.838
353950,26494.988
551130,327.30405
705496,26494.988
79036,25782.838
486956,26494.988
533516,26494.988
153961,25782.838
299760,25519.475
393721,26494.988
550612,26494.988
397083,327.30405
92120,26494.988
100718,24807.324
694221,26494.988
472836,26494.988
351690,26494.988
611073,25782.838
56,25782.838
612890,25782.838
483053,26494.988
233821,25519.475
522729,25519.475
661309,26494.988
614176,26494.988
678141,327.30405
114870,327.30405
316274,26494.988
75641,24807.324
341448,25519.475
241069,25782.838
280366,25782.838
540946,327.30405
333395,26494.988
325491,25782.838
711022,327.30405
414798,25519.475
300080,25782.838
525050,327.30405
90519,25519.475
255641,25782.838
489070,25782.838
556055,25782.838
602588,26494.988
217827,25782.838
640056,26494.988
577127,26494.988
67546,26494.988
129265,26494.988
246990,25782.838
540666,327.30405
695572,26494.988
85186,26494.988
231742,25782.838
475343,25782.838
298530,26494.988
653527,25782.838
248740,26494.988
477969,25519.475
148780,24807.324
560528,25519.475
246172,327.30405
412059,327.30405
74681,327.30405
225516,25782.838
372994,26494.988
190964,25782.838
649199,26494.988
535665,25782.838
95222,25782.838
456363,25782.838
382177,327.30405
293334,24807.324
532665,26494.988
248542,25519.475
290306,26494.988
